Region,Country,Population,Facility Name,Facility Type,Number of Beds,Number of Doctors,Number of Nurses,Annual Patient Visits,Emergency Response Time (minutes),Funding Received (USD),Electricity Availability,Internet Availability,Patient Satisfaction Rate (%),Average Distance to Facility (km)
Central Senegal,Senegal,2315,Central Facility 1515,Health Center,7,4,7,5897,53,186280,No,No,82.2,1.5
Central Senegal,Senegal,505,Central Facility 1516,Health Center,59,10,39,7828,34,199604,Yes,No,63.0,12.0
Western Kenya,Kenya,4501,Western Facility 1517,Hospital,99,3,35,7988,39,134991,Yes,No,77.1,7.5
Central Malawi,Malawi,1960,Central Facility 1518,Clinic,82,17,34,4508,25,22884,No,No,76.3,10.8
Central Malawi,Malawi,8631,Central Facility 1519,Clinic,78,5,42,1513,36,135744,Yes,Yes,95.0,10.9
Eastern Ethiopia,Ethiopia,7868,Eastern Facility 1520,Clinic,44,8,19,16839,42,24992,No,Yes,82.4,9.4
Eastern Ethiopia,Ethiopia,3675,Eastern Facility 1521,Health Center,55,13,43,17488,10,167764,Yes,Yes,74.9,5.2
Dar es Salaam,Tanzania,7562,Dar Facility 1522,Hospital,88,11,14,10834,26,190147,No,Yes,94.4,19.7
Central Senegal,Senegal,5569,Central Facility 1523,Health Center,79,3,29,16895,46,165150,Yes,Yes,93.0,17.5
Western Uganda,Uganda,568,Western Facility 1524,Health Center,12,4,39,10465,58,187676,No,Yes,92.5,10.0
Central Senegal,Senegal,4473,Central Facility 1525,Clinic,29,10,30,14390,38,160204,Yes,No,67.1,3.1
Western Kenya,Kenya,9630,Western Facility 1526,Hospital,79,13,11,16552,47,53741,Yes,No,94.7,15.4
Central Senegal,Senegal,2477,Central Facility 1527,Hospital,31,12,39,14771,25,164376,No,Yes,69.0,16.4
Dar es Salaam,Tanzania,3867,Dar Facility 1528,Hospital,82,9,50,11530,58,106405,No,No,62.5,5.5
Eastern Nigeria,Nigeria,8325,Eastern Facility 1529,Hospital,11,7,16,9011,11,58974,No,Yes,75.6,17.6
Western Kenya,Kenya,894,Western Facility 1530,Health Center,12,6,50,12745,32,115712,Yes,No,64.2,9.9
Southern Zambia,Zambia,3505,Southern Facility 1531,Hospital,9,12,32,17195,31,34037,Yes,Yes,82.8,16.0
Northern Ghana,Ghana,3090,Northern Facility 1532,Health Center,47,8,37,18440,36,121579,No,Yes,79.5,18.0
Dar es Salaam,Tanzania,3406,Dar Facility 1533,Clinic,19,13,27,1259,12,178069,No,Yes,88.8,11.0
Dar es Salaam,Tanzania,4915,Dar Facility 1534,Health Center,20,2,30,16010,44,40859,No,No,83.1,14.2
Dar es Salaam,Tanzania,3138,Dar Facility 1535,Clinic,20,10,14,3983,33,196609,No,No,77.3,7.4
Central Malawi,Malawi,7310,Central Facility 1536,Clinic,67,20,18,12805,16,133032,No,Yes,61.0,18.2
Eastern Ethiopia,Ethiopia,9243,Eastern Facility 1537,Hospital,62,1,10,7841,34,79866,No,Yes,84.7,18.7
Western Kenya,Kenya,6896,Western Facility 1538,Clinic,19,8,40,18381,16,72563,No,Yes,60.5,15.0
Southern Zambia,Zambia,7584,Southern Facility 1539,Clinic,99,20,49,4357,28,66306,Yes,No,62.7,11.4
Eastern Nigeria,Nigeria,5695,Eastern Facility 1540,Clinic,36,3,5,17998,28,71106,Yes,No,64.2,14.2
Dar es Salaam,Tanzania,6997,Dar Facility 1541,Health Center,70,14,42,17743,53,81140,Yes,No,76.1,16.4
Western Kenya,Kenya,9928,Western Facility 1542,Clinic,99,5,8,5189,7,180919,Yes,No,61.4,12.7
Western Kenya,Kenya,6924,Western Facility 1543,Hospital,92,2,11,11014,24,66051,No,Yes,77.8,5.5
Southern Zambia,Zambia,8130,Southern Facility 1544,Health Center,95,17,22,2180,27,109124,No,No,70.2,3.5
Eastern Nigeria,Nigeria,7214,Eastern Facility 1545,Health Center,100,4,48,17042,5,160174,Yes,No,72.5,17.9
Southern Zambia,Zambia,6141,Southern Facility 1546,Clinic,68,19,31,16518,41,137786,No,No,83.2,1.9
Southern Zambia,Zambia,6859,Southern Facility 1547,Clinic,36,11,17,11623,9,116907,No,No,87.2,18.9
Northern Ghana,Ghana,1462,Northern Facility 1548,Clinic,98,10,6,7876,42,128164,Yes,Yes,64.3,16.4
Northern Ghana,Ghana,5889,Northern Facility 1549,Clinic,13,13,41,11075,21,131872,No,Yes,68.6,14.9
Dar es Salaam,Tanzania,7137,Dar Facility 1550,Health Center,43,10,44,7644,5,69435,Yes,No,88.5,19.6
Eastern Nigeria,Nigeria,4745,Eastern Facility 1551,Hospital,94,2,42,7854,29,44096,No,Yes,76.0,11.3
Western Kenya,Kenya,7796,Western Facility 1552,Clinic,31,14,9,7024,22,117813,Yes,No,70.3,7.8
Eastern Rwanda,Rwanda,7629,Eastern Facility 1553,Clinic,42,16,15,13990,21,91469,No,Yes,62.3,5.5
Eastern Rwanda,Rwanda,6840,Eastern Facility 1554,Hospital,44,5,37,9779,50,21297,Yes,Yes,75.7,19.0
Dar es Salaam,Tanzania,6761,Dar Facility 1555,Clinic,89,8,12,6941,58,41952,No,No,64.4,17.4
Western Uganda,Uganda,3106,Western Facility 1556,Health Center,73,5,17,13935,38,183558,Yes,No,64.1,14.5
Eastern Rwanda,Rwanda,2721,Eastern Facility 1557,Health Center,12,7,30,3955,7,22156,Yes,Yes,78.2,17.4
Northern Ghana,Ghana,4458,Northern Facility 1558,Hospital,64,18,34,15453,43,14586,Yes,No,60.8,3.8
Eastern Ethiopia,Ethiopia,4689,Eastern Facility 1559,Hospital,14,15,7,1771,5,25458,Yes,No,85.2,6.8
Central Malawi,Malawi,4688,Central Facility 1560,Clinic,76,7,25,17981,57,194656,Yes,Yes,94.7,7.4
Western Uganda,Uganda,5616,Western Facility 1561,Clinic,42,20,42,2140,49,106674,No,No,93.4,12.8
Southern Zambia,Zambia,719,Southern Facility 1562,Clinic,28,14,39,18789,52,66689,Yes,No,72.6,17.2
Central Senegal,Senegal,8583,Central Facility 1563,Health Center,73,18,35,5213,46,124142,No,Yes,85.1,14.2
Western Kenya,Kenya,1510,Western Facility 1564,Health Center,91,16,29,7166,40,125056,No,Yes,82.6,3.7
Dar es Salaam,Tanzania,5612,Dar Facility 1565,Health Center,47,18,43,1512,11,115221,Yes,Yes,82.7,12.4
Northern Ghana,Ghana,4923,Northern Facility 1566,Health Center,62,20,30,8859,41,136436,No,Yes,68.9,4.9
Eastern Nigeria,Nigeria,7348,Eastern Facility 1567,Clinic,57,13,33,18820,49,124613,Yes,No,63.8,16.3
Western Kenya,Kenya,8009,Western Facility 1568,Clinic,69,2,7,6865,25,100762,No,Yes,64.1,17.1
Eastern Ethiopia,Ethiopia,8323,Eastern Facility 1569,Clinic,54,12,19,8479,8,168657,No,No,78.2,10.5
Northern Ghana,Ghana,5691,Northern Facility 1570,Health Center,19,10,25,6748,15,153062,Yes,Yes,66.1,12.5
Central Malawi,Malawi,4845,Central Facility 1571,Hospital,92,4,45,12614,7,43218,No,No,92.6,18.4
Northern Ghana,Ghana,2652,Northern Facility 1572,Hospital,94,17,48,14352,37,25107,Yes,Yes,79.1,4.3
Northern Ghana,Ghana,6643,Northern Facility 1573,Clinic,5,7,6,3633,17,67913,No,No,63.5,7.0
Central Malawi,Malawi,8504,Central Facility 1574,Hospital,60,9,8,4861,57,15391,Yes,Yes,82.1,5.5
Western Kenya,Kenya,3778,Western Facility 1575,Health Center,59,20,50,1176,43,124531,Yes,Yes,78.6,12.6
Southern Zambia,Zambia,5211,Southern Facility 1576,Hospital,74,14,44,6700,17,148529,Yes,No,85.1,1.7
Central Senegal,Senegal,9042,Central Facility 1577,Health Center,36,2,5,5773,50,161854,No,Yes,74.8,9.9
Eastern Nigeria,Nigeria,4269,Eastern Facility 1578,Clinic,33,12,37,16001,5,73007,Yes,Yes,77.1,1.0
Eastern Ethiopia,Ethiopia,4268,Eastern Facility 1579,Hospital,82,12,19,18912,40,66197,Yes,Yes,84.1,10.3
Northern Ghana,Ghana,4045,Northern Facility 1580,Clinic,51,15,17,18720,27,104159,Yes,Yes,62.4,18.1
Central Senegal,Senegal,3943,Central Facility 1581,Clinic,44,13,47,7043,26,108128,Yes,No,94.1,10.2
Northern Ghana,Ghana,2816,Northern Facility 1582,Clinic,90,17,22,11695,37,20113,Yes,No,90.0,5.4
Southern Zambia,Zambia,4361,Southern Facility 1583,Hospital,11,18,27,16712,29,189909,Yes,Yes,88.9,18.2
Eastern Nigeria,Nigeria,1482,Eastern Facility 1584,Clinic,33,20,13,13335,38,60980,Yes,Yes,79.0,14.5
Northern Ghana,Ghana,5262,Northern Facility 1585,Hospital,78,14,46,1687,18,168349,Yes,No,68.6,19.9
Central Senegal,Senegal,1547,Central Facility 1586,Health Center,45,20,9,9481,6,21188,No,No,78.9,19.6
Eastern Ethiopia,Ethiopia,5055,Eastern Facility 1587,Hospital,95,17,24,11862,24,180823,Yes,No,94.7,3.8
Dar es Salaam,Tanzania,8163,Dar Facility 1588,Hospital,88,19,13,9688,53,35721,No,No,75.8,14.2
Western Uganda,Uganda,6149,Western Facility 1589,Hospital,9,16,35,10450,44,45259,Yes,No,81.8,16.3
Eastern Rwanda,Rwanda,935,Eastern Facility 1590,Health Center,30,5,46,8062,23,196513,Yes,Yes,78.3,2.2
Eastern Nigeria,Nigeria,4736,Eastern Facility 1591,Hospital,45,9,28,4153,46,134933,Yes,Yes,77.7,17.5
Western Uganda,Uganda,9551,Western Facility 1592,Health Center,75,9,14,11341,51,154732,Yes,No,87.2,3.3
Dar es Salaam,Tanzania,6741,Dar Facility 1593,Hospital,73,18,28,14408,58,49206,No,Yes,74.1,18.0
Western Uganda,Uganda,5940,Western Facility 1594,Hospital,35,18,39,12110,7,188663,No,Yes,67.6,11.2
Southern Zambia,Zambia,2947,Southern Facility 1595,Hospital,15,6,38,4737,60,173205,Yes,Yes,60.7,9.7
Eastern Rwanda,Rwanda,704,Eastern Facility 1596,Health Center,30,18,9,9455,45,93208,Yes,Yes,90.6,2.2
Western Kenya,Kenya,9322,Western Facility 1597,Health Center,76,16,37,13795,57,151272,Yes,No,88.2,5.8
Eastern Ethiopia,Ethiopia,8628,Eastern Facility 1598,Health Center,68,16,18,10707,50,48187,Yes,No,83.6,4.6
Central Senegal,Senegal,1344,Central Facility 1599,Hospital,15,15,19,13171,25,170636,No,No,71.4,10.4
Central Senegal,Senegal,1525,Central Facility 1600,Health Center,36,14,46,12498,28,157241,Yes,No,65.5,14.9
Southern Zambia,Zambia,3008,Southern Facility 1601,Health Center,24,19,46,11954,50,77742,Yes,No,68.4,15.4
Northern Ghana,Ghana,5136,Northern Facility 1602,Clinic,14,16,21,4826,5,166023,No,No,73.1,2.0
Eastern Nigeria,Nigeria,1782,Eastern Facility 1603,Health Center,48,2,14,4227,51,46455,No,Yes,88.0,10.7
Dar es Salaam,Tanzania,4593,Dar Facility 1604,Health Center,42,6,49,6277,11,158263,No,Yes,84.5,7.6
Central Senegal,Senegal,8541,Central Facility 1605,Hospital,25,4,25,18909,58,174732,Yes,Yes,73.8,10.0
Dar es Salaam,Tanzania,3434,Dar Facility 1606,Clinic,44,17,44,8293,24,193251,No,Yes,66.0,16.4
Central Senegal,Senegal,1730,Central Facility 1607,Health Center,51,13,16,16818,55,26481,No,Yes,61.7,7.5
Western Kenya,Kenya,5595,Western Facility 1608,Health Center,90,18,22,2467,9,94210,No,No,82.4,19.6
Northern Ghana,Ghana,5299,Northern Facility 1609,Hospital,12,19,26,18242,37,36577,No,No,69.2,10.9
Dar es Salaam,Tanzania,4562,Dar Facility 1610,Health Center,85,6,45,4203,33,128945,Yes,No,67.1,3.3
Northern Ghana,Ghana,848,Northern Facility 1611,Health Center,95,1,22,8356,41,153829,Yes,No,72.4,2.5
Central Malawi,Malawi,7520,Central Facility 1612,Hospital,71,10,40,2989,10,79695,No,No,82.1,7.5
Eastern Rwanda,Rwanda,6136,Eastern Facility 1613,Health Center,22,20,15,7628,57,59221,No,No,84.5,1.3
Western Uganda,Uganda,766,Western Facility 1614,Hospital,81,12,27,3271,39,181917,Yes,Yes,68.7,16.1
Eastern Nigeria,Nigeria,2265,Eastern Facility 1615,Hospital,90,7,31,2625,20,127906,No,No,80.1,13.8
Central Senegal,Senegal,2907,Central Facility 1616,Hospital,55,9,49,1898,43,24259,Yes,No,88.5,6.2
Eastern Nigeria,Nigeria,9314,Eastern Facility 1617,Clinic,29,7,11,1102,57,102526,No,Yes,61.8,18.7
Western Kenya,Kenya,8143,Western Facility 1618,Clinic,81,3,46,9739,49,137531,No,No,64.5,4.7
Northern Ghana,Ghana,9033,Northern Facility 1619,Health Center,33,18,10,12699,51,194415,No,Yes,67.0,4.1
Central Malawi,Malawi,8861,Central Facility 1620,Hospital,31,2,7,19413,17,190956,Yes,Yes,81.5,19.0
Eastern Rwanda,Rwanda,4194,Eastern Facility 1621,Clinic,6,13,13,13205,10,131815,Yes,Yes,80.6,7.9
Western Kenya,Kenya,2556,Western Facility 1622,Hospital,45,11,48,10277,11,74765,No,No,88.5,7.4
Southern Zambia,Zambia,6704,Southern Facility 1623,Clinic,65,9,48,11998,5,39279,No,No,73.5,6.7
Central Malawi,Malawi,5831,Central Facility 1624,Hospital,19,19,35,2526,23,92343,Yes,Yes,69.1,7.7
Dar es Salaam,Tanzania,9767,Dar Facility 1625,Health Center,72,17,29,16098,23,149242,No,Yes,93.7,3.3
Eastern Nigeria,Nigeria,6101,Eastern Facility 1626,Health Center,36,17,45,10031,12,10902,No,Yes,78.2,10.8
Eastern Ethiopia,Ethiopia,4807,Eastern Facility 1627,Clinic,84,5,43,17919,27,137053,Yes,Yes,61.6,18.5
Southern Zambia,Zambia,5881,Southern Facility 1628,Hospital,51,12,49,6208,25,92687,No,No,88.5,14.2
Southern Zambia,Zambia,7456,Southern Facility 1629,Hospital,42,20,10,1043,38,197045,Yes,No,88.2,17.8
Central Malawi,Malawi,3787,Central Facility 1630,Clinic,75,5,13,8637,10,94344,Yes,Yes,76.2,15.4
Eastern Rwanda,Rwanda,7757,Eastern Facility 1631,Hospital,75,10,17,15436,10,188844,No,Yes,61.0,15.8
Western Uganda,Uganda,5278,Western Facility 1632,Health Center,92,6,17,13983,5,77019,No,Yes,63.7,10.0
Central Malawi,Malawi,5112,Central Facility 1633,Hospital,42,3,40,14444,48,185112,Yes,Yes,76.6,6.6
Central Senegal,Senegal,7283,Central Facility 1634,Health Center,28,7,30,16554,41,32642,No,Yes,69.7,18.5
Eastern Rwanda,Rwanda,2737,Eastern Facility 1635,Clinic,82,14,5,13611,17,159313,Yes,Yes,92.5,17.5
Western Kenya,Kenya,9409,Western Facility 1636,Clinic,97,14,7,17801,22,198642,Yes,Yes,60.8,9.2
Western Uganda,Uganda,1976,Western Facility 1637,Hospital,94,6,31,5840,34,33220,Yes,No,67.0,19.1
Northern Ghana,Ghana,9556,Northern Facility 1638,Health Center,89,6,33,15166,16,95828,No,Yes,92.9,9.1
Eastern Rwanda,Rwanda,4009,Eastern Facility 1639,Health Center,100,17,8,7031,26,40086,No,Yes,66.0,2.7
Dar es Salaam,Tanzania,1420,Dar Facility 1640,Health Center,12,20,30,15145,10,187876,Yes,Yes,86.3,14.4
Eastern Rwanda,Rwanda,6670,Eastern Facility 1641,Hospital,47,12,8,8848,32,199540,No,No,65.3,16.1
Dar es Salaam,Tanzania,9083,Dar Facility 1642,Health Center,86,20,11,9462,30,42975,Yes,No,62.2,14.0
Dar es Salaam,Tanzania,8837,Dar Facility 1643,Clinic,39,4,17,10901,22,55446,Yes,Yes,64.9,17.8
Western Kenya,Kenya,3089,Western Facility 1644,Health Center,99,2,50,12320,44,95625,No,No,94.8,18.0
Central Malawi,Malawi,848,Central Facility 1645,Health Center,54,20,12,9732,49,23414,Yes,No,64.0,6.4
Central Malawi,Malawi,5907,Central Facility 1646,Clinic,94,13,35,4472,40,130494,Yes,No,87.6,8.8
Dar es Salaam,Tanzania,6355,Dar Facility 1647,Clinic,85,11,18,8829,58,142991,Yes,Yes,84.3,13.6
Central Malawi,Malawi,6167,Central Facility 1648,Health Center,19,15,7,17944,23,158647,Yes,Yes,62.4,10.8
Western Kenya,Kenya,7416,Western Facility 1649,Hospital,17,12,46,3400,34,37204,No,Yes,89.3,3.7
Western Kenya,Kenya,4723,Western Facility 1650,Hospital,45,6,46,6819,36,63035,No,Yes,74.4,15.2
Western Kenya,Kenya,7673,Western Facility 1651,Clinic,64,8,28,13898,48,103756,No,No,89.2,17.2
Western Uganda,Uganda,4321,Western Facility 1652,Clinic,63,12,46,10076,5,19222,Yes,No,87.7,9.4
Eastern Ethiopia,Ethiopia,9104,Eastern Facility 1653,Hospital,36,12,29,12141,56,36714,Yes,No,74.0,6.1
Western Uganda,Uganda,1310,Western Facility 1654,Health Center,88,16,18,12888,7,101576,Yes,Yes,76.0,16.1
Western Uganda,Uganda,8418,Western Facility 1655,Hospital,74,3,48,11248,55,84563,Yes,No,78.3,13.7
Eastern Rwanda,Rwanda,7757,Eastern Facility 1656,Health Center,43,5,12,14883,48,84309,No,Yes,70.5,4.4
Eastern Rwanda,Rwanda,9625,Eastern Facility 1657,Health Center,100,19,5,5205,37,126629,No,No,63.5,1.8
Central Senegal,Senegal,2462,Central Facility 1658,Clinic,24,17,31,2683,12,123755,No,Yes,74.5,4.9
Dar es Salaam,Tanzania,4431,Dar Facility 1659,Hospital,85,11,21,4944,31,194436,No,Yes,68.7,17.5
Central Malawi,Malawi,7485,Central Facility 1660,Hospital,50,1,50,11139,6,131136,Yes,Yes,77.3,4.2
Southern Zambia,Zambia,5002,Southern Facility 1661,Health Center,90,7,21,19998,40,93192,No,Yes,83.6,1.4
Northern Ghana,Ghana,5732,Northern Facility 1662,Hospital,44,17,19,18113,31,83647,No,No,60.2,12.6
Dar es Salaam,Tanzania,4774,Dar Facility 1663,Hospital,33,19,46,6541,7,103385,No,Yes,69.3,6.6
Eastern Nigeria,Nigeria,5749,Eastern Facility 1664,Hospital,13,1,50,4826,14,103909,No,Yes,69.4,8.0
Central Senegal,Senegal,5347,Central Facility 1665,Clinic,55,1,7,18234,36,25701,Yes,No,71.8,16.0
Eastern Nigeria,Nigeria,7847,Eastern Facility 1666,Health Center,12,7,31,2818,18,162881,Yes,No,77.2,6.9
Eastern Ethiopia,Ethiopia,8316,Eastern Facility 1667,Clinic,28,3,11,4075,37,67306,No,Yes,93.8,18.3
Central Malawi,Malawi,2700,Central Facility 1668,Health Center,61,11,21,14730,54,132308,Yes,No,80.2,13.5
Central Senegal,Senegal,3295,Central Facility 1669,Hospital,46,1,43,5365,58,84597,No,No,86.7,2.5
Western Kenya,Kenya,1211,Western Facility 1670,Health Center,60,1,31,10622,56,29467,Yes,Yes,78.1,19.1
Western Uganda,Uganda,1307,Western Facility 1671,Clinic,84,19,47,8620,42,32270,Yes,Yes,91.9,18.7
Northern Ghana,Ghana,8920,Northern Facility 1672,Clinic,92,15,21,10930,8,191838,Yes,No,77.2,11.4
Western Uganda,Uganda,3682,Western Facility 1673,Health Center,8,9,8,16877,38,159870,Yes,No,91.7,8.0
Eastern Nigeria,Nigeria,2124,Eastern Facility 1674,Health Center,45,3,18,12288,56,120306,No,Yes,76.0,1.5
Western Kenya,Kenya,3562,Western Facility 1675,Clinic,57,14,32,16719,39,176864,No,Yes,88.3,13.8
Eastern Ethiopia,Ethiopia,7615,Eastern Facility 1676,Clinic,32,13,8,15932,7,52518,Yes,No,64.4,17.4
Central Senegal,Senegal,6883,Central Facility 1677,Health Center,56,8,17,10853,8,80399,Yes,Yes,61.4,3.7
Eastern Rwanda,Rwanda,3412,Eastern Facility 1678,Clinic,78,1,11,12998,55,24290,No,No,60.4,5.0
Western Uganda,Uganda,3459,Western Facility 1679,Clinic,66,5,18,17744,18,60815,No,Yes,87.6,10.2
Dar es Salaam,Tanzania,6837,Dar Facility 1680,Clinic,66,20,8,3304,39,193120,Yes,Yes,69.9,14.2
Eastern Rwanda,Rwanda,9854,Eastern Facility 1681,Health Center,92,1,19,3065,11,189024,No,No,68.9,7.1
Eastern Nigeria,Nigeria,4645,Eastern Facility 1682,Clinic,63,7,33,17083,16,197257,Yes,No,69.4,18.8
Eastern Ethiopia,Ethiopia,2864,Eastern Facility 1683,Hospital,57,7,30,18791,41,161179,No,No,85.3,13.6
Western Kenya,Kenya,3944,Western Facility 1684,Clinic,16,6,36,18278,36,162043,No,Yes,61.8,19.3
Central Malawi,Malawi,9140,Central Facility 1685,Hospital,93,17,18,10305,5,20276,No,Yes,73.4,13.1
Eastern Nigeria,Nigeria,6809,Eastern Facility 1686,Clinic,45,8,47,4990,21,199573,Yes,Yes,67.0,3.8
Eastern Nigeria,Nigeria,8992,Eastern Facility 1687,Clinic,56,3,31,3399,10,189104,Yes,No,95.0,7.3
Dar es Salaam,Tanzania,4817,Dar Facility 1688,Hospital,45,5,9,18606,37,85578,Yes,No,91.2,4.7
Western Uganda,Uganda,7593,Western Facility 1689,Health Center,54,7,5,19623,53,155517,No,No,91.7,11.6
Western Kenya,Kenya,2125,Western Facility 1690,Health Center,25,15,22,15391,13,128292,Yes,No,70.1,4.5
Central Malawi,Malawi,8439,Central Facility 1691,Health Center,89,15,39,1626,49,24478,No,No,85.6,16.8
Dar es Salaam,Tanzania,1871,Dar Facility 1692,Clinic,77,1,39,14031,23,10056,Yes,Yes,78.5,7.5
Central Senegal,Senegal,7839,Central Facility 1693,Hospital,42,3,47,19512,22,169194,Yes,Yes,87.5,11.6
Western Uganda,Uganda,3819,Western Facility 1694,Hospital,31,8,34,13329,34,164992,Yes,Yes,63.7,13.0
Southern Zambia,Zambia,9355,Southern Facility 1695,Hospital,46,17,14,6040,36,137502,No,Yes,87.2,9.2
Eastern Rwanda,Rwanda,8731,Eastern Facility 1696,Hospital,70,8,27,5940,26,144749,Yes,No,62.9,10.7
Central Senegal,Senegal,5136,Central Facility 1697,Clinic,59,15,30,6193,57,83386,No,No,93.7,14.8
Western Kenya,Kenya,8994,Western Facility 1698,Clinic,50,4,39,16557,9,84641,No,No,70.7,19.6
Central Senegal,Senegal,3424,Central Facility 1699,Clinic,81,14,37,5675,34,17580,Yes,No,92.0,17.5
Eastern Ethiopia,Ethiopia,8283,Eastern Facility 1700,Clinic,21,19,40,2074,43,128080,Yes,No,62.8,2.4
Central Senegal,Senegal,5053,Central Facility 1701,Health Center,83,12,8,9826,36,188625,Yes,No,84.5,17.0
Western Uganda,Uganda,8119,Western Facility 1702,Health Center,97,16,9,17166,13,48578,Yes,No,76.2,11.0
Eastern Rwanda,Rwanda,9058,Eastern Facility 1703,Hospital,60,14,15,8281,49,102966,Yes,Yes,64.6,1.4
Central Senegal,Senegal,4328,Central Facility 1704,Health Center,57,20,27,8365,34,132398,No,No,69.5,10.3
Eastern Rwanda,Rwanda,2043,Eastern Facility 1705,Clinic,83,2,12,18882,22,140753,No,No,92.0,18.2
Northern Ghana,Ghana,4517,Northern Facility 1706,Hospital,10,19,21,12027,26,108993,Yes,Yes,92.7,2.0
Eastern Ethiopia,Ethiopia,9122,Eastern Facility 1707,Clinic,40,20,36,12214,56,198783,No,Yes,72.5,7.2
Southern Zambia,Zambia,7034,Southern Facility 1708,Clinic,76,8,50,5582,39,122844,Yes,Yes,75.8,9.7
Central Malawi,Malawi,4264,Central Facility 1709,Hospital,81,18,11,2942,35,47371,Yes,Yes,81.9,3.9
Eastern Ethiopia,Ethiopia,5639,Eastern Facility 1710,Health Center,32,12,28,11537,44,125846,Yes,Yes,88.3,14.3
Central Senegal,Senegal,5735,Central Facility 1711,Clinic,34,2,34,18339,9,80766,Yes,No,81.7,14.3
Dar es Salaam,Tanzania,8288,Dar Facility 1712,Clinic,38,9,42,5727,45,148985,No,No,94.6,2.2
Western Uganda,Uganda,6541,Western Facility 1713,Clinic,36,14,42,6786,7,63897,Yes,Yes,81.3,2.8
Central Malawi,Malawi,2163,Central Facility 1714,Clinic,9,11,5,1521,8,73570,Yes,Yes,74.4,10.1
Central Malawi,Malawi,4699,Central Facility 1715,Clinic,15,18,35,3869,57,170952,No,No,82.2,7.7
Western Kenya,Kenya,4764,Western Facility 1716,Health Center,92,20,15,1246,22,180311,No,No,84.0,14.8
Western Uganda,Uganda,1704,Western Facility 1717,Hospital,57,2,35,14096,51,143545,No,Yes,91.0,8.8
Eastern Ethiopia,Ethiopia,9156,Eastern Facility 1718,Clinic,86,16,47,13523,54,80993,No,Yes,80.2,19.2
Central Malawi,Malawi,4332,Central Facility 1719,Clinic,56,8,19,5516,6,145405,Yes,No,80.0,17.8
Dar es Salaam,Tanzania,8023,Dar Facility 1720,Hospital,61,19,40,2852,7,126046,Yes,No,68.7,6.0
Central Malawi,Malawi,1825,Central Facility 1721,Hospital,85,16,27,11539,53,198121,No,Yes,90.4,15.6
Southern Zambia,Zambia,2590,Southern Facility 1722,Health Center,96,18,35,12153,28,20774,Yes,No,88.9,19.1
Dar es Salaam,Tanzania,4025,Dar Facility 1723,Health Center,80,13,36,14568,26,178756,Yes,No,61.3,7.1
Central Senegal,Senegal,9818,Central Facility 1724,Health Center,91,19,20,19977,24,160412,Yes,Yes,68.5,19.7
Eastern Ethiopia,Ethiopia,2031,Eastern Facility 1725,Clinic,15,11,17,4869,46,91156,Yes,No,91.9,18.1
Eastern Ethiopia,Ethiopia,5405,Eastern Facility 1726,Hospital,80,17,50,1983,45,108032,No,Yes,65.6,17.8
Eastern Rwanda,Rwanda,5937,Eastern Facility 1727,Clinic,20,10,15,7831,14,34687,Yes,Yes,70.4,19.1
Central Senegal,Senegal,2742,Central Facility 1728,Clinic,63,10,13,5731,5,48336,Yes,No,79.6,2.4
Dar es Salaam,Tanzania,6100,Dar Facility 1729,Hospital,40,3,46,1075,26,51560,Yes,Yes,71.6,19.6
Western Kenya,Kenya,8842,Western Facility 1730,Clinic,99,9,28,11350,52,67506,No,No,91.4,19.5
Central Senegal,Senegal,7640,Central Facility 1731,Health Center,68,4,47,12953,42,108578,Yes,No,65.5,2.3
Eastern Ethiopia,Ethiopia,2859,Eastern Facility 1732,Clinic,76,2,39,9605,18,67636,Yes,Yes,94.4,13.9
Eastern Nigeria,Nigeria,7359,Eastern Facility 1733,Health Center,36,1,42,10884,55,99581,Yes,No,75.2,19.0
Western Uganda,Uganda,4683,Western Facility 1734,Health Center,83,14,17,1667,33,177640,No,No,63.7,9.2
Southern Zambia,Zambia,6561,Southern Facility 1735,Hospital,80,12,6,12071,47,191422,Yes,No,93.4,10.0
Central Senegal,Senegal,7055,Central Facility 1736,Hospital,58,2,29,16542,17,168349,No,No,90.5,2.6
Central Senegal,Senegal,5595,Central Facility 1737,Health Center,61,9,5,18303,55,176340,Yes,Yes,70.2,4.4
Western Kenya,Kenya,9847,Western Facility 1738,Clinic,83,11,27,9392,15,155059,No,No,93.8,16.1
Central Senegal,Senegal,5250,Central Facility 1739,Health Center,33,18,33,14614,20,58538,Yes,No,80.2,19.6
Central Malawi,Malawi,1181,Central Facility 1740,Clinic,55,5,15,10783,9,152063,Yes,No,73.9,12.8
Dar es Salaam,Tanzania,7704,Dar Facility 1741,Health Center,66,2,31,12603,55,121964,Yes,No,93.7,6.1
Central Malawi,Malawi,9379,Central Facility 1742,Clinic,83,11,25,4780,30,110023,No,Yes,85.1,16.5
Western Uganda,Uganda,7112,Western Facility 1743,Health Center,65,18,33,19872,55,71230,Yes,No,87.2,7.0
Western Uganda,Uganda,4579,Western Facility 1744,Clinic,96,14,6,18195,38,46123,Yes,Yes,88.7,15.2
Dar es Salaam,Tanzania,8587,Dar Facility 1745,Clinic,91,11,27,4186,11,181036,Yes,No,66.3,6.3
Northern Ghana,Ghana,1416,Northern Facility 1746,Hospital,74,14,5,16002,32,83117,Yes,Yes,90.0,17.7
Central Senegal,Senegal,3139,Central Facility 1747,Health Center,8,5,7,6154,48,161089,No,No,77.8,14.4
